URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
www.myboat-oi.com/acheter/bateau%20moteur/hammercat-35-neuf0807.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/escale-392208.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/balt-6601207.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/arvor-180207.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/vedette-habitable0302.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/bruce-farr-540412.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/antares-9051502.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/astove-310504.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/luhrs-360801.html,No,No,No recent data
www.myboat-oi.com/mentionslegales.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/prao1501.html,No,No,No recent data
www.myboat-oi.com/en/good-boat-selling.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/etap-32-s2203.html,No,No,No recent data
www.myboat-oi.com/en/buy/boat-engine.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-400s21305.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/leopard-472908.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/jeanneau-4512101.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/tropical-boat2112.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/bateau-de-verre0112.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-boat-pacific-ocean.html,No,No,No recent data
www.myboat-oi.com/acheter/acheter-voilier.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/eleuthera-600405.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/belize-431512.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/evasion-341910.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/evasion-340303.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/beneteau-flyer-650-open2010.html,No,No,No recent data
www.myboat-oi.com/en/boat-types.html,No,No,No recent data
www.myboat-oi.com/en/contact.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-423001.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/cap-camarat2511.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/trawler-island-gispy-442103.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/aventurin-542807.html,No,No,No recent data
www.myboat-oi.com/en/buy/light-sail-boat.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/previlege-121409.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/padi-312206.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/flot-313009.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/sun-odyssee2111.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-boat-france.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/sun-odyssey-4190405.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/hunraken-ct-431710.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dean-4400909.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/dean-3650908.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/swan-380511.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/tropical-boat1712.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/belize-430903.html,No,No,No recent data
www.myboat-oi.com/bien-vendre-son-bateau.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/cap-camara-77-wa2101.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/nautitech-401509.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/bavaria-500806.html,No,No,No recent data
